Timestamp,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
2025-04-25T16:46:00.275Z,0.00,0.00,0.00,50.00,50.00,0.00,0.00
2025-04-25T16:46:01.103Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:02.285Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:03.150Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:46:04.120Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:05.398Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:06.169Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:07.352Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:08.237Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:09.491Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:10.329Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:11.148Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:12.559Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:13.442Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:14.343Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:15.136Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:15.932Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:17.668Z,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2025-04-25T16:46:19.293Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:19.969Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:21.044Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:22.208Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:22.940Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:23.962Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:25.043Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:26.309Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:27.215Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:28.596Z,0.00,0.00,0.00,66.67,33.33,0.00,0.00
2025-04-25T16:46:30.339Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:31.161Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:32.435Z,0.00,0.00,0.00,50.00,50.00,0.00,0.00
2025-04-25T16:46:33.219Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:34.433Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:34.839Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:36.191Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:37.103Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:38.463Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:39.211Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:39.951Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:41.235Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:42.366Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:43.188Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:44.475Z,0.00,0.00,0.00,50.00,50.00,0.00,0.00
2025-04-25T16:46:45.269Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:46.135Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:47.415Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:48.233Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:46:49.050Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:50.331Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:51.088Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:46:52.189Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:53.597Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:55.566Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:56.326Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:57.377Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:46:58.573Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:00.277Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:01.265Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:02.248Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:02.997Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:04.360Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:05.229Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:06.385Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:07.450Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:08.348Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:09.319Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:10.316Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:11.187Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:12.054Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:13.266Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:13.999Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:15.208Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
